source	stratum	stratum_label	model_id	model_label	group_type	removed_group_id	removed_n	removed_fraction	effective_groups	full_n	reduced_n	full_spearman	reduced_spearman	spearman_shift	full_delta_mae	reduced_delta_mae	delta_mae_shift	full_coverage_90	reduced_coverage_90
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	ligand_scaffold	ccda8427f6d1e4bb6bcd699df6ef40a5d15d08651735a6d96732023160008e17	39	0.0553977272727273	116.835454974069	704	665	0.234040395599365	0.215209317284655	-0.0188310783147099	-0.223251254886952	-0.197650847452339	0.0256004074346127		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	document_component	db_9cd5c3b339be53db	42	0.0596590909090909	89.8180500181223	704	662	0.24557706422415	0.239086430956853	-0.00649063326729715	-0.216433450059907	-0.191856863812349	0.0245765862475583		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_cdf621721d09cca4	47	0.0667613636363636	62.3573225968797	704	657	0.24557706422415	0.21581274109832	-0.0297643231258306	-0.216433450059907	-0.213747522470393	0.00268592758951397		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	ligand_scaffold	ccda8427f6d1e4bb6bcd699df6ef40a5d15d08651735a6d96732023160008e17	39	0.0553977272727273	116.835454974069	704	665	0.24557706422415	0.237831760651319	-0.00774530357283157	-0.216433450059907	-0.197299132472062	0.0191343175878448		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	document_component	db_9cd5c3b339be53db	42	0.0596590909090909	89.8180500181223	704	662	0.283908989131822	0.233206934542989	-0.0507020545888328	-0.268322571642972	-0.199011800763377	0.0693107708795942	0.644886363636364	0.626888217522659
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_cdf621721d09cca4	47	0.0667613636363636	62.3573225968797	704	657	0.283908989131822	0.272661195473017	-0.011247793658805	-0.268322571642972	-0.27536211250094	-0.00703954085796854	0.644886363636364	0.625570776255708
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	ligand_scaffold	ccda8427f6d1e4bb6bcd699df6ef40a5d15d08651735a6d96732023160008e17	39	0.0553977272727273	116.835454974069	704	665	0.283908989131822	0.244406501606137	-0.039502487525685	-0.268322571642972	-0.216529725393948	0.0517928462490234	0.644886363636364	0.630075187969925
ChEMBL37	overall	Overall	hgb_molecule	HGB ligand only	document_component	CHEMBL37_DOC_COMPONENT_1	5645	0.221929548671175	14.9640520960512	25436	19791	0.156695585188567	0.183934187847905	0.0272386026593388	0.0127170657431067	-0.0321255390772221	-0.0448426048203287		
ChEMBL37	overall	Overall	hgb_molecule	HGB ligand only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1069	0.0420270482780311	188.978250519482	25436	24367	0.156695585188567	0.156657631695287	-3.79534932799519e-05	0.0127170657431067	0.0178325004937318	0.00511543475062516		
ChEMBL37	overall	Overall	hgb_molecule	HGB ligand only	ligand_scaffold	f4430543575b6ff0b394f7a2d5dc5f3046cb663942cbd0a000119c56d9001100	1805	0.0709624154741312	114.827021359217	25436	23631	0.156695585188567	0.173497695801692	0.0168021106131254	0.0127170657431067	0.0136523494008313	0.000935283657724667		
ChEMBL37	overall	Overall	hgb_protein	HGB protein only	document_component	CHEMBL37_DOC_COMPONENT_1	5645	0.221929548671175	14.9640520960512	25436	19791	0.118251360719027	0.149737802451065	0.0314864417320381	0.0538033832845157	0.00571837406859957	-0.0480850092159161		
ChEMBL37	overall	Overall	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1069	0.0420270482780311	188.978250519482	25436	24367	0.118251360719027	0.0943043257674301	-0.0239470349515973	0.0538033832845157	0.0774589539345093	0.0236555706499936		
ChEMBL37	overall	Overall	hgb_protein	HGB protein only	ligand_scaffold	f4430543575b6ff0b394f7a2d5dc5f3046cb663942cbd0a000119c56d9001100	1805	0.0709624154741312	114.827021359217	25436	23631	0.118251360719027	0.124295836931485	0.00604447621245716	0.0538033832845157	0.0539612292222985	0.000157845937782737		
ChEMBL37	overall	Overall	hgb_fusion_additive	HGB additive fusion	document_component	CHEMBL37_DOC_COMPONENT_1	5645	0.221929548671175	14.9640520960512	25436	19791	0.215231424845831	0.261771437399514	0.0465400125536826	-0.018850888081262	-0.0696385008005127	-0.0507876127192506		
ChEMBL37	overall	Overall	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1069	0.0420270482780311	188.978250519482	25436	24367	0.215231424845831	0.193226563892346	-0.0220048609534849	-0.018850888081262	0.00391152001517638	0.0227624080964384		
ChEMBL37	overall	Overall	hgb_fusion_additive	HGB additive fusion	ligand_scaffold	f4430543575b6ff0b394f7a2d5dc5f3046cb663942cbd0a000119c56d9001100	1805	0.0709624154741312	114.827021359217	25436	23631	0.215231424845831	0.22580878308254	0.0105773582367092	-0.018850888081262	-0.0221022207403408	-0.0032513326590788		
ChEMBL37	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	document_component	CHEMBL37_DOC_COMPONENT_1	5645	0.221929548671175	14.9640520960512	25436	19791	0.206229166135601	0.261261415669832	0.055032249534231	-0.0215183419073378	-0.0767876144815483	-0.0552692725742105		
