source	stratum	stratum_label	model_id	model_label	n	mae	baseline_mae	delta_mae	delta_mae_document_ci95_low	delta_mae_document_ci95_high	delta_mae_scaffold_ci95_low	delta_mae_scaffold_ci95_high	delta_mae_protein_cluster_ci95_low	delta_mae_protein_cluster_ci95_high	delta_mae_three_way_ci95_low	delta_mae_three_way_ci95_high	delta_mae_dependence_envelope_ci95_low	delta_mae_dependence_envelope_ci95_high	r2	mean_bias	mean_bias_three_way_ci95_low	mean_bias_three_way_ci95_high	calibration_slope	calibration_slope_three_way_ci95_low	calibration_slope_three_way_ci95_high	coverage_90	coverage_90_document_ci95_low	coverage_90_document_ci95_high	coverage_90_three_way_ci95_low	coverage_90_three_way_ci95_high	coverage_90_dependence_envelope_ci95_low	coverage_90_dependence_envelope_ci95_high
ChEMBL37	overall	Overall	hgb_molecule	HGB ligand only	25436	1.18295634856737	1.17023928282426	0.0127170657431067	-0.0662162465363622	0.0916503780225756	-0.0195926414361799	0.0450267729223933	-0.0122454046829448	0.0376795361691582	-0.0661000614534955	0.0915341929397089	-0.0662162465363622	0.0916503780225755	-0.0811749241056554	-0.207111479356048	-0.433547109792881	0.0193241510807834	0.3726878288555	0.146491836629835	0.598883821081165							
ChEMBL37	overall	Overall	hgb_protein	HGB protein only	25436	1.22404266610878	1.17023928282426	0.0538033832845157	-0.0361081358046681	0.1437149023737	0.0309886312197213	0.0766181353493107	-0.00514526299515969	0.112752029564192	-0.0432113374154562	0.150818103984488	-0.0432113374154565	0.150818103984488	-0.160994950365894	0.0271746747071104	-0.151829109783446	0.206178459197667	0.239774922725402	0.0797277198645111	0.399822125586294							
ChEMBL37	overall	Overall	hgb_fusion_additive	HGB additive fusion	25436	1.151388394743	1.17023928282426	-0.018850888081262	-0.10908458341303	0.0713828072505057	-0.0448007619698876	0.00709898580736369	-0.0695167048026243	0.0318149286401004	-0.114064903277079	0.0763631271145546	-0.114064903277079	0.0763631271145546	0.00426920716629908	0.0462759055785846	-0.130632669029005	0.223184480186174	0.513188368454739	0.306851617495934	0.719525119413543							
ChEMBL37	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	25436	1.14872094091692	1.17023928282426	-0.0215183419073378	-0.118101230486918	0.0750645466722422	-0.0481371109141469	0.00510042709947124	-0.0691685848064787	0.026131900991803	-0.122349612095509	0.0793129282808337	-0.122349612095509	0.0793129282808337	0.00680259606867428	0.0335887433035796	-0.145811661707788	0.212989148314947	0.520655317651292	0.265861719216269	0.775448916086314							
ChEMBL37	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	25436	1.21096410788541	1.17023928282426	0.0407248250611532	-0.0828919658715182	0.164341615993824	0.0131410237370823	0.0683086263852238	-0.0174056400068495	0.0988552901291557	-0.0877594385793541	0.16920908870166	-0.087759438579354	0.16920908870166	-0.105537122806718	0.117551415035171	-0.0939948652713283	0.329097695341671	0.365122574516198	0.192978003366874	0.537267145665522	0.659694920585114	0.638927204658003	0.680462636512225	0.638791502047499	0.680598339122728	0.638791502047499	0.680598339122728
ChEMBL37	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	7378	1.23644465287093	1.25718625973886	-0.0207416068679294	-0.105507031042253	0.0640238173063936	-0.0552787246816727	0.0137955109458135	-0.0697258982822031	0.028242684546344	-0.0961991951274311	0.0547159813915719	-0.105507031042253	0.0640238173063938	-0.118700342719913	-0.47671026019578	-0.751205535455911	-0.202214984935648	0.472113956350516	0.302114821819408	0.642113090881623							
ChEMBL37	drug_cold	Ligand cold	hgb_protein	HGB protein only	7378	1.28276466228399	1.25718625973886	0.0255784025451273	-0.161634494047153	0.212791299137406	-0.0291638800430734	0.0803206851333269	-0.15059898074412	0.201755785834373	-0.19409828984662	0.245255094936873	-0.194098289846619	0.245255094936874	-0.254996539178831	-0.195927146595938	-0.592547899260707	0.20069360606883	0.309007550397158	0.106935686492663	0.511079414301653							
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	7378	1.13775400799476	1.25718625973886	-0.119432251744099	-0.258197066173105	0.0193325626849063	-0.162737480236138	-0.0761270232520601	-0.251674014273918	0.0128095107857193	-0.27938167627077	0.0405171727825716	-0.27938167627077	0.0405171727825714	0.0551048768178055	-0.152503038263727	-0.437483907001226	0.132477830473772	0.628182252986638	0.417994875001747	0.838369630971528							
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_interaction	HGB interaction fusion	7378	1.1356012033529	1.25718625973886	-0.121585056385955	-0.260041013599623	0.0168709008277129	-0.161847073251235	-0.0813230395206747	-0.244412965817401	0.0012428530454906	-0.279111168277749	0.0359410555058384	-0.279111168277749	0.0359410555058381	0.0521625352668341	-0.18831039958922	-0.473576819381018	0.0969560202025769	0.646491429297964	0.412979916860126	0.880002941735803							
ChEMBL37	drug_cold	Ligand cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	7378	1.23450502025144	1.25718625973886	-0.0226812394874172	-0.186253801670847	0.140891322696012	-0.075636307765213	0.0302738287903788	-0.174885355616851	0.129522876642017	-0.213148155200278	0.167785676225444	-0.213148155200278	0.167785676225444	-0.10594840931002	-0.161449939686468	-0.519053949164783	0.196154069791846	0.409881164745095	0.2413381918697	0.57842413762049	0.658308484684165	0.622513757814185	0.694103211554146	0.625847011947418	0.690769957420913	0.617908026140148	0.698708943228182
ChEMBL37	protein_identity_cold	Target cold	hgb_molecule	HGB ligand only	1802	1.15112328640251	1.06373148092784	0.0873918054746731	-0.164091370320404	0.33887498126975	-0.0666546832909039	0.24143829424025	0.00083461605740745	0.173948994891939	-0.182941188760041	0.357724799709387	-0.182941188760041	0.357724799709387	-0.141651970033756	-0.0470343817486735	-0.358560382229825	0.264491618732477	0.335397638514023	-0.11642225811936	0.787217535147407							
ChEMBL37	protein_identity_cold	Target cold	hgb_protein	HGB protein only	1802	1.15645724048723	1.06373148092784	0.0927257595593923	0.0170075801099559	0.168443939008829	0.0408730274332968	0.144578491685488	0.0351182732598911	0.150333245858893	0.0329212182690461	0.152530300849738	0.0170075801099559	0.168443939008829	-0.126750828949281	0.373616657684138	0.215114507032792	0.532118808335485	0.333333358501601	0.210591451618954	0.456075265384248							
ChEMBL37	protein_identity_cold	Target cold	hgb_fusion_additive	HGB additive fusion	1802	1.13589648163361	1.06373148092784	0.072165000705768	-0.108867600321823	0.253197601733359	-0.0351841632883531	0.179514164699889	0.00395566575816651	0.14037433565337	-0.124566053799396	0.268896055210931	-0.124566053799395	0.268896055210932	-0.0568587478282807	0.268435304989293	-0.0451482654486082	0.582018875427195	0.458412978750014	0.0939154549505524	0.822910502549476							
ChEMBL37	protein_identity_cold	Target cold	hgb_fusion_interaction	HGB interaction fusion	1802	1.14657204336736	1.06373148092784	0.0828405624395225	-0.095156809369676	0.260837934248721	-0.0216623921045621	0.187343516983607	0.0180487498825631	0.147632374996482	-0.110802778138195	0.27648390301724	-0.110802778138195	0.27648390301724	-0.0529639154696306	0.316046525311154	0.0291499795929701	0.602943071029338	0.499312002975843	0.0653219923054528	0.933302013646234							
ChEMBL37	protein_identity_cold	Target cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	1802	1.24463227656655	1.06373148092784	0.180900795638708	-0.0897768817396148	0.451578473017031	0.0476295370474729	0.314172054229943	0.0666436189552402	0.295157972322176	-0.103318182338714	0.46511977361613	-0.103318182338714	0.46511977361613	-0.237571101435578	0.50741938294991	0.202373830022009	0.81246493587781	0.367650291711297	0.0562476496045984	0.679052933817996	0.639289678135397	0.578811024184263	0.699768332086531	0.589738219206771	0.688841137064023	0.578811024184263	0.699768332086531
ChEMBL37	strict_scaffold_protein_identity_double_cold	Double cold	hgb_molecule	HGB ligand only	15760	1.16961910408637	1.15523640971854	0.0143826943678221	-0.0432963496537966	0.0720617383894409	-0.0240594332038373	0.0528248219394816	-0.00952085361317206	0.0382862423488163	-0.0433861499865347	0.072151538722179	-0.0433861499865348	0.0721515387221789	-0.0760954694709741	-0.116981140727939	-0.364278615588685	0.130316334132807	0.339756818392905	0.1276508328789	0.55186280390691							
ChEMBL37	strict_scaffold_protein_identity_double_cold	Double cold	hgb_protein	HGB protein only	15760	1.20866840692042	1.15523640971854	0.0534319972018734	0.00958803996582313	0.0972759544379246	0.0349981704315522	0.0718658239721956	0.0181460068256616	0.0887179875780861	0.00609749719701418	0.100766497206734	0.0060974971970137	0.100766497206733	-0.133309502406788	0.073471224738785	-0.0358909527167369	0.182833402194307	0.101806174276987	-0.0722523895143382	0.275864738068313							
ChEMBL37	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_additive	HGB additive fusion	15760	1.16604322335476	1.15523640971854	0.0108068136362115	-0.0427611180861702	0.0643747453585932	-0.013401852415464	0.0350154796878871	-0.0197876559716927	0.0414012832441157	-0.0435953238432701	0.0652089511156932	-0.0435953238432702	0.0652089511156931	-0.0326780554636623	0.099055491980275	-0.0134718534595157	0.211582837420067	0.418399351736897	0.214511266853746	0.622287436620048							
ChEMBL37	strict_scaffold_protein_identity_double_cold	Double cold	hgb_fusion_interaction	HGB interaction fusion	15760	1.16131824719202	1.15523640971854	0.00608183747347806	-0.0535634103198514	0.0657270852668076	-0.0192149490395955	0.0313786239865517	-0.023078632193357	0.0352423071403132	-0.0546203647590423	0.0667840397059985	-0.0546203647590423	0.0667840397059984	-0.0269740715177098	0.0894608202578397	-0.0222981292568577	0.201219769772538	0.421672388875859	0.174245462833278	0.66909931491844							
ChEMBL37	strict_scaffold_protein_identity_double_cold	Double cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	15760	1.2004264776582	1.15523640971854	0.0451900679396585	-0.0363000582791838	0.1266801941585	0.0203035836827181	0.0700765521965985	0.00242831639605059	0.087951819483266	-0.0388326006314593	0.129212736510776	-0.0388326006314592	0.129212736510776	-0.107055306811056	0.183273455173709	0.0684462863275246	0.298100624019894	0.343528737343363	0.170324971679961	0.516732503006765	0.660723350253987	0.638079970160425	0.68336673034755	0.636879699085123	0.684567001422852	0.636879699085123	0.684567001422852
