external_cold_category	category	outcome	inference_scheme	cluster_variables	n	estimate	standard_error	ci95_lower	ci95_upper	scaffold_clusters	protein_clusters	primary_documents	document_components
strict_scaffold_protein_identity_double_cold	Double cold	coverage_90	Primary document	primary_document_id	15760	0.660723350253987	0.0127362201684394	0.635760358723846	0.685686341784128	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	mean_bias	Primary document	primary_document_id	15760	0.183273455173709	0.063733777479382	0.0583552513141206	0.308191659033298	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	calibration_slope	Primary document	primary_document_id	15760	0.343528737343363	0.0634760533667732	0.219115672744488	0.467941801942239	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	delta_mae	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	15760	0.0451900679396583	0.0362728159220552	-0.0259046512675699	0.116284787146887	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	coverage_90	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	15760	0.660723350253987	0.0140217706657068	0.633240679749202	0.688206020758772	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	mean_bias	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	15760	0.183273455173709	0.0705155786715578	0.045062920977456	0.321483989369963	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	calibration_slope	Scaffold + protein + primary document	frozen_scaffold_id + protein_identity_cluster_id + primary_document_id	15760	0.343528737343363	0.0699134130793651	0.206498447707808	0.480559026978919	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	delta_mae	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	15760	0.0451900679396583	0.0434572409900996	-0.0399861244009368	0.130366260280253	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	coverage_90	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	15760	0.660723350253987	0.0127381670912036	0.635756542755228	0.685690157752746	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	mean_bias	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	15760	0.183273455173709	0.0603729809402879	0.064942412530745	0.301604497816673	5152	2441	1896	1694
strict_scaffold_protein_identity_double_cold	Double cold	calibration_slope	Scaffold + protein + document component	frozen_scaffold_id + protein_identity_cluster_id + document_component_id	15760	0.343528737343363	0.0901192227823264	0.166895060690004	0.520162413996723	5152	2441	1896	1694
