between_to_within_signal_ratio	local_prediction_signal	replicate	global_spearman	pooled_within_target_centered_spearman	macro_target_spearman	attenuation
0.25	0.05	206	0.08087732005369448	0.0082868599214305	-0.002027972027972036	0.07259046013226399
0.25	0.05	207	0.04440321833556829	-0.014032141688987282	-0.017762237762237763	0.05843536002455557
0.25	0.05	208	0.08868399214166121	0.045830997104859106	0.04244755244755246	0.04285299503680211
0.25	0.05	209	0.07284040475028108	0.04766899838124887	0.03937062937062938	0.025171406369032215
0.25	0.05	210	0.10822662376848874	0.07515822580432346	0.0876923076923077	0.033068397964165275
0.25	0.05	211	0.061555480246861284	0.018599880972139562	-0.012167832167832172	0.04295559927472172
0.25	0.05	212	0.022875585330267588	-0.03772438036415303	-0.023076923076923085	0.06059996569442062
0.25	0.05	213	0.05109923687447006	-0.027283546724685224	-0.01804195804195806	0.07838278359915528
0.25	0.05	214	0.05101512570494841	-0.018738110234798773	-0.019160839160839157	0.06975323593974718
0.25	0.05	215	0.0853798787360269	0.013701960904139514	-0.0020979020979020957	0.07167791783188739
0.25	0.05	216	0.10590852493647565	0.051498341318292576	0.05167832167832168	0.054410183618183075
0.25	0.05	217	0.060071520883000606	-0.0018176193177911928	0.0079020979020979	0.0618891402007918
0.25	0.05	218	0.11520468416991955	0.014290634924052031	0.02482517482517482	0.10091404924586753
0.25	0.05	219	0.09684940058986151	0.033204189725131755	0.023986013986013986	0.06364521086472975
0.25	0.05	220	0.07681617140011901	0.01732203980697209	0.01846153846153845	0.05949413159314692
0.25	0.05	221	0.04286547421213487	-0.007547033018772929	-0.000979020979020979	0.0504125072309078
0.25	0.05	222	0.08241518223276544	0.022200126527865644	0.006993006993006994	0.060215055704899795
0.25	0.05	223	0.039304325905781874	-0.008722985224295295	-0.020279720279720283	0.04802731113007717
0.25	0.05	224	0.012166036226414047	-0.03276234219607097	-0.03181818181818182	0.04492837842248502
0.25	0.05	225	0.09677226859185319	0.04894558954554829	0.033636363636363645	0.047826679046304894
0.25	0.05	226	0.06448655867122129	0.007473449634340024	-0.005244755244755239	0.05701310903688126
0.25	0.05	227	0.04685952559689277	-0.010645465726017865	-0.037132867132867134	0.057504991322910634
0.25	0.05	228	0.0784151655660872	0.02837754748440797	0.020979020979020987	0.050037618081679225
0.25	0.05	229	0.025940455514205218	-0.04577317067581296	-0.05671328671328671	0.07171362619001818
0.25	0.05	230	0.025580469153103583	-0.012171362619001818	-0.012027972027972029	0.0377518317721054
0.25	0.05	231	0.07201377917623554	0.008928054811149175	0.004405594405594405	0.06308572436508636
0.25	0.05	232	0.09530201757084553	0.017536012177786237	0.031678321678321686	0.07776600539305929
0.25	0.05	233	0.055555135802177635	0.003794884579780958	0.0076923076923077005	0.05176025122239668
0.25	0.05	234	0.08628620575430955	0.03610704590767077	0.031818181818181815	0.05017915984663878
0.25	0.05	235	0.044037773637342806	-0.015572052480592001	-0.0016783216783216792	0.059609826117934805
0.25	0.05	236	0.059968180533458704	-0.035776719289388394	-0.023286713286713293	0.09574489982284709
0.25	0.05	237	0.062126307032157664	0.021261702265071014	0.02048951048951049	0.04086460476708665
0.25	0.05	238	0.05743538016345844	-0.003171411924591614	-0.003776223776223785	0.06060679208805006
0.25	0.05	239	0.10846546421212791	0.04190556382330821	0.04230769230769232	0.0665599003888197
0.25	0.2	0	0.09635174746649129	0.02667839352666217	0.02818181818181818	0.06967335393982912
0.25	0.2	1	0.15220514736468568	0.06836741553292744	0.05174825174825175	0.08383773183175824
0.25	0.2	2	0.1096157566776088	0.039558520526750365	0.041258741258741266	0.07005723615085843
0.25	0.2	3	0.10681181028597936	0.07048980589569853	0.044825174825174834	0.036322004390280827
0.25	0.2	4	0.06399246110587577	0.017760519278138386	-0.0005594405594405671	0.04623194182773738
0.25	0.2	5	0.10320375222482794	0.059985847212393896	0.04930069930069931	0.04321790501243405
0.25	0.2	6	0.07793796384580823	0.02104800767222755	0.03741258741258742	0.05688995617358068
0.25	0.2	7	0.1011224452239203	0.06843806835976969	0.07013986013986015	0.03268437686415061
0.25	0.2	8	0.10501192709161604	0.03680021305570351	0.02146853146853147	0.06821171403591253
0.25	0.2	9	0.11744759544971906	0.06904231877938805	0.06993006993006992	0.04840527667033101
0.25	0.2	10	0.12952578439290582	0.07770944979822902	0.06755244755244756	0.0518163345946768
0.25	0.2	11	0.09034211829313771	0.04167361921779113	0.03251748251748252	0.04866849907534658
0.25	0.2	12	0.09487528810783896	0.04202989029853493	0.03979020979020979	0.05284539780930403
0.25	0.2	13	0.13880298527985088	0.09538661485181586	0.10230769230769234	0.04341637042803502
0.25	0.2	14	0.10414164176502902	0.03384909295075899	0.04223776223776224	0.07029254881427002
0.25	0.2	15	0.13397184303600213	0.06564288586311517	0.07251748251748252	0.06832895717288695
0.25	0.2	16	0.1741284681447695	0.11815698483123947	0.10860139860139861	0.05597148331353004
0.25	0.2	17	0.061614508065630604	-0.0023204391114160497	0.006993006993006991	0.06393494717704665
0.25	0.2	18	0.13511382994015966	0.0900424583628183	0.09643356643356647	0.04507137157734137
0.25	0.2	19	0.1002010904174239	0.05113007022921544	0.06419580419580419	0.049071020188208456
0.25	0.2	20	0.09129845923504114	0.04082778529707312	0.01923076923076923	0.050470673937968016
0.25	0.2	21	0.04656572678175472	0.016717365775948456	0.009510489510489512	0.029848361005806262
0.25	0.2	22	0.13251555035802107	0.0833351134271621	0.07517482517482518	0.04918043693085897
0.25	0.2	23	0.11512712161605669	0.03998941665931712	0.03237762237762238	0.07513770495673958
0.25	0.2	24	0.15082086168115394	0.06152412605842087	0.0565734265734266	0.08929673562273308
0.25	0.2	25	0.15405814865149212	0.10018369457201011	0.10811188811188814	0.053874454079482006
0.25	0.2	26	0.09631176132761203	0.04512241327945366	0.04370629370629369	0.05118934804815837
0.25	0.2	27	0.14161170250812677	0.07208371672480328	0.06244755244755247	0.06952798578332349
0.25	0.2	28	0.10716842858918653	0.06549462881571445	0.06328671328671329	0.041673799773472076
0.25	0.2	29	0.17759644971975674	0.1279975055538233	0.12489510489510491	0.04959894416593344
0.25	0.2	30	0.135700080347278	0.07114549385103738	0.0683916083916084	0.06455458649624063
0.25	0.2	31	0.10818478346165518	0.06076538247596006	0.04664335664335665	0.047419400985695116
0.25	0.2	32	0.1376737206067504	0.06009954173579287	0.05622377622377624	0.07757417887095752
0.25	0.2	33	0.10152603578196928	0.056297164095252844	0.06314685314685314	0.04522887168671644
0.25	0.2	34	0.07664298377984985	0.007303595349718993	0.0019580419580419563	0.06933938843013085
0.25	0.2	35	0.1106260490458674	0.08146809824173488	0.08650349650349654	0.029157950804132513
0.25	0.2	36	0.009115374385676656	-0.051113542439960025	-0.031328671328671336	0.06022891682563668
0.25	0.2	37	0.09469748242880724	0.04762743585238601	0.054475524475524485	0.04707004657642123
0.25	0.2	38	0.1238647804616531	0.06682778946374268	0.0681118881118881	0.05703699099791042
0.25	0.2	39	0.06892149230659188	0.04103065349350937	0.045454545454545456	0.027890838813082505
0.25	0.2	40	0.12808921395084302	0.04914702718543555	0.05090909090909092	0.07894218676540747
0.25	0.2	41	0.097924172169564	0.055685622003904166	0.0634965034965035	0.04223855016565984
0.25	0.2	42	0.1671910813826954	0.09705456739900514	0.08503496503496505	0.07013651398369025
