stratum	control	replicate	spearman	mae
all_exact_kd	ligand_permutation	78	0.27289277569804543	1.4612685144825184
all_exact_kd	ligand_permutation	79	0.27273549196678826	1.4796917521801507
all_exact_kd	ligand_permutation	80	0.29650415612557496	1.4364457556101764
all_exact_kd	ligand_permutation	81	0.2717385736397237	1.4487009549389522
all_exact_kd	ligand_permutation	82	0.261844934639427	1.473559082186918
all_exact_kd	ligand_permutation	83	0.2743726421710527	1.4644618828365523
all_exact_kd	ligand_permutation	84	0.2685974236478201	1.4594024098693634
all_exact_kd	ligand_permutation	85	0.27252283072601735	1.4706447197905808
all_exact_kd	ligand_permutation	86	0.29375761726947985	1.4481381662392814
all_exact_kd	ligand_permutation	87	0.2528020920755532	1.472070510826107
all_exact_kd	ligand_permutation	88	0.2846944083193751	1.4541425231396174
all_exact_kd	ligand_permutation	89	0.29344724634866676	1.4444661687073648
all_exact_kd	ligand_permutation	90	0.26717891691733614	1.470895279487795
all_exact_kd	ligand_permutation	91	0.3016228896796635	1.436874446888612
all_exact_kd	ligand_permutation	92	0.27383646568522546	1.466230954349296
all_exact_kd	ligand_permutation	93	0.2778047638043056	1.452293705159106
all_exact_kd	ligand_permutation	94	0.2813807070139435	1.452478358944273
all_exact_kd	ligand_permutation	95	0.26873845820830333	1.4661283552850637
all_exact_kd	ligand_permutation	96	0.28354144189385594	1.4537691572543139
all_exact_kd	ligand_permutation	97	0.2963723707515534	1.4333039516085424
all_exact_kd	ligand_permutation	98	0.3002452271408896	1.4450823745025685
all_exact_kd	ligand_permutation	99	0.2588844614852566	1.4805457008393264
all_exact_kd	joint_permutation	0	0.10908339540747053	1.6006285746701772
all_exact_kd	joint_permutation	1	0.09229352698433269	1.5844883758469295
all_exact_kd	joint_permutation	2	0.06364220175585984	1.6150400521125228
all_exact_kd	joint_permutation	3	0.15188846989453467	1.5460406072628416
all_exact_kd	joint_permutation	4	0.14295160796348153	1.5535378783346414
all_exact_kd	joint_permutation	5	0.10937824611182151	1.5888464179621795
all_exact_kd	joint_permutation	6	0.08280397171964225	1.5902077550944382
all_exact_kd	joint_permutation	7	0.06675284538500416	1.6075935300264366
all_exact_kd	joint_permutation	8	0.06374982797423043	1.6181311630611623
all_exact_kd	joint_permutation	9	0.12636282069935717	1.5823732571185982
all_exact_kd	joint_permutation	10	0.041946773335439405	1.6242884415813417
all_exact_kd	joint_permutation	11	0.08843525533637697	1.6052512153409153
all_exact_kd	joint_permutation	12	0.07293365204708305	1.605312536520225
all_exact_kd	joint_permutation	13	0.14157490874438738	1.563348379502109
all_exact_kd	joint_permutation	14	0.10475006513485516	1.60794077769852
all_exact_kd	joint_permutation	15	0.0808497011827339	1.6022926330228897
