sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	source_wide_spearman	330	19	16	-0.37798236661870777	0.16971767045015346	-0.6715823631586594	-0.006327303895562563	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	330	19	16	0.04592555499819225	0.09455760522485908	-0.11957956160033904	0.24434571918982173	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	330	19	16	0.4816934647900403	0.02839632660743215	0.4359827655604182	0.5475060319797161	2000
source_origin__database_entry_residual_patent	mandatory_source_origin	smiles_protein_cross_attention_v1_8	target_rank_attenuation	330	19	16	-0.4239079216169	0.15266658094009417	-0.7051473087432528	-0.10848646694760594	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	source_wide_spearman	2359	340	125	0.17870536211495308	0.05175793797569763	0.0761312371789987	0.27892546661531403	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	2359	340	125	0.03435001171483986	0.04183740695565638	-0.04449131156099909	0.12005128323659112	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	2359	340	125	0.5030474547136021	0.015852461905433306	0.48132423026909676	0.5438578611368423	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	global_top5_morgan_similarity_v1_8	target_rank_attenuation	2359	340	125	0.1443553504001132	0.05927313277783656	0.02076981959853763	0.2557122562401755	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	2359	340	125	0.2620656396553738	0.0579954852335631	0.1490839240072451	0.37023214216030437	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	2359	340	125	0.13722772696954233	0.04187674210635464	0.04240720497060097	0.20878878582446542	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	2359	340	125	0.5427723679668	0.014277121006131944	0.5169359423807791	0.5723494587619037	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	hgb_fusion_additive_pre2018_v1_8	target_rank_attenuation	2359	340	125	0.1248379126858315	0.06602870096401042	0.009782615806763845	0.26718677853626327	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	source_wide_spearman	2359	340	125	0.2039303111157773	0.06481627034938561	0.07002671826075862	0.3230060666114406	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_centered_spearman	2359	340	125	0.15079711916421987	0.04607048928224009	0.040520668248777016	0.22283127337952138	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	within_target_pairwise_concordance	2359	340	125	0.5313842223460555	0.016423623622274685	0.49155049403445894	0.5570351580719143	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	ligand_mpnn_frozen_esm2_v1_8	target_rank_attenuation	2359	340	125	0.05313319195155744	0.08182818632899409	-0.08700569085264698	0.23233392610188613	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	source_wide_spearman	2359	340	125	0.25887863184891136	0.05941814914317435	0.13901746447549485	0.37001743771348217	2000
