source	stratum	model_id	model_label	n	mae	baseline_mae	mae_delta_vs_development_median	mae_relative_improvement_vs_development_median	rmse	spearman	r2	calibration_intercept	calibration_slope	prediction_mean	prediction_sd	prediction_min	prediction_max	outcome_mean	outcome_sd	outcome_min	outcome_max	prediction_sd_to_outcome_sd_ratio	interval_90_coverage	interval_mean_half_width_pkd
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	HGB interaction fusion	704	1.373084023057574	1.5895174731174813	-0.21643345005990722	0.1361629889072069	1.7010130640091157	0.24557706422415013	-0.07525408696387892	1.3208358144115089	0.6684897751786111	5.729924606611766	0.6272197848724025	4.051857745432732	8.289577502276424	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.38208411639547374		
BioLiP/MOAD	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	704	1.3211949014745097	1.5895174731174813	-0.2683225716429716	0.16880756341527792	1.624194179666807	0.2839089891318222	0.019671330824379996	1.3659428871275707	0.686209185123668	5.516231815909091	0.7075148956290102	3.1439784	7.360264	5.151231826475797	1.6415751347883893	0.0457574905606751	10.045757490560677	0.4309975709520075	0.6448863636363636	1.455871253765381
ChEMBL37	overall	development_median	Development median	25436	1.1702392828242607	1.1702392828242607	0.0	0.0	1.4609657323364356		-0.06420804682230608	6.5334314232906845		6.174574367411812	1.776391758593881e-15	6.174574367411814	6.174574367411814	6.5334314232906845	1.4162349163021044	2.0	11.0	1.2543058627817007e-15		
ChEMBL37	overall	hgb_molecule	HGB ligand only	25436	1.1829563485673673	1.1702392828242607	0.012717065743106604	-0.010867064479680666	1.4725659105691213	0.15669558518856652	-0.08117492410566562	4.175688978740529	0.37268782885548585	6.326319943934635	0.6862639552321638	3.6042719416341873	9.42911755095322	6.5334314232906845	1.4162349163021044	2.0	11.0	0.4845692952014278		
ChEMBL37	overall	hgb_protein	HGB protein only	25436	1.2240426661087762	1.1702392828242607	0.053803383284515505	-0.04597639480591198	1.5259556994724006	0.11825136071902738	-0.1609949503659125	4.960362603111503	0.23977492272539522	6.560606097997793	0.7867824663228394	2.1676880637317915	9.657241905810913	6.5334314232906845	1.4162349163021044	2.0	11.0	0.555545169283912		
ChEMBL37	overall	hgb_fusion_additive	HGB additive fusion	25436	1.1513883947429988	1.1702392828242607	-0.018850888081261896	0.016108575705788164	1.4131808027423167	0.21523142484583113	0.004269207166287314	3.156802154278595	0.5131883684547359	6.579707328869268	0.6370452722756574	3.6988372386179535	9.551317516488167	6.5334314232906845	1.4162349163021044	2.0	11.0	0.44981610391235827		
ChEMBL37	overall	hgb_fusion_interaction	HGB interaction fusion	25436	1.1487209409169228	1.1702392828242607	-0.021518341907337923	0.018387984596966778	1.4113819145883248	0.2062291661356008	0.006802596068677502	3.114277452430116	0.5206553176512909	6.567020166594263	0.597990116728427	3.8790963509967016	9.350015468269131	6.5334314232906845	1.4162349163021044	2.0	11.0	0.42223935439314264		
ChEMBL37	overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	25436	1.2109641078854136	1.1702392828242607	0.040724825061152936	-0.03480042557011709	1.4890642100665477	0.20598566020332115	-0.1055371228067219	4.105007446298102	0.36512257451619723	6.650982838325855	0.8564331546939913	2.317975088743086	9.976309677090052	6.5334314232906845	1.4162349163021044	2.0	11.0	0.6047253494711191	0.6596949205849977	1.455871253765381
ChEMBL37	drug_cold	development_median	Development median	7378	1.2571862597388601	1.2571862597388601	0.0	0.0	1.582092436267777		-0.1742252642079094	6.783987361312795		6.174574367411812	1.776477233642105e-15	6.174574367411814	6.174574367411814	6.783987361312795	1.460110008281792	2.209011524911184	11.0	1.2166735544348493e-15		
ChEMBL37	drug_cold	hgb_molecule	HGB ligand only	7378	1.2364446528709307	1.2571862597388601	-0.020741606867929363	0.016498435858054772	1.5442337135034794	0.1960073772024722	-0.11870034271991692	3.8062338153054185	0.4721139563505173	6.3072771011170135	0.6798324183058198	3.959243310828586	8.806762959947418	6.783987361312795	1.460110008281792	2.209011524911184	11.0	0.46560356031380373		
ChEMBL37	drug_cold	hgb_protein	HGB protein only	7378	1.2827646622839877	1.2571862597388601	0.025578402545127554	-0.02034575413705264	1.6356011536744286	0.24262691112936008	-0.2549965391788289	4.748227012494184	0.30900755039715444	6.588060214716856	1.1500738195966855	2.1676880637317915	9.657241905810913	6.783987361312795	1.460110008281792	2.209011524911184	11.0	0.7876624453455076		
ChEMBL37	drug_cold	hgb_fusion_additive	HGB additive fusion	7378	1.137754007994761	1.2571862597388601	-0.1194322517440991	0.09499964768061286	1.419214200028771	0.3087122949577905	0.055104876817804294	2.6182065986142966	0.6281822529866327	6.631484323049067	0.7409334249905678	3.6988372386179535	9.551317516488167	6.783987361312795	1.460110008281792	2.209011524911184	11.0	0.5074504118100479		
ChEMBL37	drug_cold	hgb_fusion_interaction	HGB interaction fusion	7378	1.1356012033529048	1.2571862597388601	-0.12158505638595529	0.09671204679822909	1.4214221525611006	0.3008134743226298	0.05216253526683423	2.519938735140448	0.6464914292979669	6.595676961723574	0.7075425226961546	3.8790963509967016	9.350015468269131	6.783987361312795	1.460110008281792	2.209011524911184	11.0	0.4845816539048086		
ChEMBL37	drug_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	7378	1.234505020251443	1.2571862597388601	-0.022681239487417182	0.018041272175634893	1.5354072192857686	0.2633589880548799	-0.1059484093100207	4.069534009368625	0.40988116474509373	6.622537421626325	1.0528811676745893	2.317975088743086	9.976309677090052	6.783987361312795	1.460110008281792	2.209011524911184	11.0	0.7210971513807951	0.6583084846841962	1.4558712537653808
ChEMBL37	protein_identity_cold	development_median	Development median	1802	1.0637314809278398	1.0637314809278398	0.0	0.0	1.3768026103370126		-0.00013467121061694343	6.158597934454136		6.174574367411813	8.884249647207518e-16	6.174574367411814	6.174574367411814	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	6.451456563557889e-16		
